task,layer,shift,acc
copa,all,0,0.83
copa,all,2,0.83
copa,all,4,0.83
copa,all,6,0.83
copa,all,8,0.83
copa,0,0,0.84
copa,0,2,0.84
copa,0,4,0.84
copa,0,6,0.84
copa,0,8,0.84
copa,11,0,0.82
copa,11,2,0.83
copa,11,4,0.85
copa,11,6,0.85
copa,11,8,0.85
copa,15,0,0.81
copa,15,2,0.83
copa,15,4,0.83
copa,15,6,0.84
copa,15,8,0.83
copa,19,0,0.84
copa,19,2,0.83
copa,19,4,0.84
copa,19,6,0.84
copa,19,8,0.84
copa,23,0,0.84
copa,23,2,0.84
copa,23,4,0.84
copa,23,6,0.84
copa,23,8,0.84
copa,27,0,0.84
copa,27,2,0.84
copa,27,4,0.84
copa,27,6,0.84
copa,27,8,0.84
copa,3,0,0.81
copa,3,2,0.84
copa,3,4,0.84
copa,3,6,0.84
copa,3,8,0.84
copa,31,0,0.84
copa,31,2,0.84
copa,31,4,0.84
copa,31,6,0.84
copa,31,8,0.84
copa,7,0,0.84
copa,7,2,0.84
copa,7,4,0.84
copa,7,6,0.84
copa,7,8,0.84
hellaswag,all,0,0.62
hellaswag,all,2,0.63
hellaswag,all,4,0.63
hellaswag,all,6,0.61
hellaswag,all,8,0.45
hellaswag,0,0,0.66
hellaswag,0,2,0.67
hellaswag,0,4,0.67
hellaswag,0,6,0.66
hellaswag,0,8,0.67
hellaswag,11,0,0.65
hellaswag,11,2,0.66
hellaswag,11,4,0.66
hellaswag,11,6,0.66
hellaswag,11,8,0.67
hellaswag,15,0,0.65
hellaswag,15,2,0.68
hellaswag,15,4,0.68
hellaswag,15,6,0.68
hellaswag,15,8,0.67
hellaswag,19,0,0.66
hellaswag,19,2,0.67
hellaswag,19,4,0.67
hellaswag,19,6,0.67
hellaswag,19,8,0.63
hellaswag,23,0,0.65
hellaswag,23,2,0.66
hellaswag,23,4,0.66
hellaswag,23,6,0.66
hellaswag,23,8,0.67
hellaswag,27,0,0.66
hellaswag,27,2,0.67
hellaswag,27,4,0.67
hellaswag,27,6,0.67
hellaswag,27,8,0.68
hellaswag,3,0,0.66
hellaswag,3,2,0.68
hellaswag,3,4,0.67
hellaswag,3,6,0.68
hellaswag,3,8,0.64
hellaswag,31,0,0.66
hellaswag,31,2,0.66
hellaswag,31,4,0.66
hellaswag,31,6,0.66
hellaswag,31,8,0.68
hellaswag,7,0,0.64
hellaswag,7,2,0.66
hellaswag,7,4,0.66
hellaswag,7,6,0.66
hellaswag,7,8,0.65
openbookqa,all,0,0.37
openbookqa,all,2,0.38
openbookqa,all,4,0.38
openbookqa,all,6,0.37
openbookqa,all,8,0.37
openbookqa,0,0,0.38
openbookqa,0,2,0.4
openbookqa,0,4,0.4
openbookqa,0,6,0.4
openbookqa,0,8,0.4
openbookqa,11,0,0.37
openbookqa,11,2,0.37
openbookqa,11,4,0.39
openbookqa,11,6,0.39
openbookqa,11,8,0.39
openbookqa,15,0,0.4
openbookqa,15,2,0.38
openbookqa,15,4,0.38
openbookqa,15,6,0.38
openbookqa,15,8,0.37
openbookqa,19,0,0.39
openbookqa,19,2,0.4
openbookqa,19,4,0.4
openbookqa,19,6,0.4
openbookqa,19,8,0.4
openbookqa,23,0,0.39
openbookqa,23,2,0.4
openbookqa,23,4,0.4
openbookqa,23,6,0.4
openbookqa,23,8,0.4
openbookqa,27,0,0.38
openbookqa,27,2,0.4
openbookqa,27,4,0.4
openbookqa,27,6,0.4
openbookqa,27,8,0.4
openbookqa,3,0,0.38
openbookqa,3,2,0.4
openbookqa,3,4,0.4
openbookqa,3,6,0.41
openbookqa,3,8,0.4
openbookqa,31,0,0.38
openbookqa,31,2,0.4
openbookqa,31,4,0.4
openbookqa,31,6,0.4
openbookqa,31,8,0.4
openbookqa,7,0,0.39
openbookqa,7,2,0.39
openbookqa,7,4,0.39
openbookqa,7,6,0.39
openbookqa,7,8,0.38
