task,layer,shift,acc
copa,all,0,0.56
copa,all,2,0.56
copa,all,4,0.56
copa,all,6,0.5
copa,all,8,0.64
copa,0,0,0.34
copa,0,2,0.34
copa,0,4,0.34
copa,0,6,0.34
copa,0,8,0.34
copa,11,0,0.88
copa,11,2,0.88
copa,11,4,0.88
copa,11,6,0.72
copa,11,8,0.7
copa,15,0,0.9
copa,15,2,0.9
copa,15,4,0.9
copa,15,6,0.78
copa,15,8,0.62
copa,19,0,0.82
copa,19,2,0.82
copa,19,4,0.82
copa,19,6,0.84
copa,19,8,0.66
copa,23,0,0.82
copa,23,2,0.82
copa,23,4,0.82
copa,23,6,0.84
copa,23,8,0.7
copa,27,0,0.88
copa,27,2,0.88
copa,27,4,0.88
copa,27,6,0.84
copa,27,8,0.66
copa,3,0,0.86
copa,3,2,0.86
copa,3,4,0.86
copa,3,6,0.74
copa,3,8,0.56
copa,31,0,0.86
copa,31,2,0.86
copa,31,4,0.86
copa,31,6,0.84
copa,31,8,0.7
copa,7,0,0.92
copa,7,2,0.9
copa,7,4,0.92
copa,7,6,0.8
copa,7,8,0.6
hellaswag,all,0,0.26
hellaswag,all,2,0.26
hellaswag,all,4,0.24
hellaswag,all,6,0.26
hellaswag,all,8,0.26
hellaswag,0,0,0.28
hellaswag,0,2,0.28
hellaswag,0,4,0.28
hellaswag,0,6,0.28
hellaswag,0,8,0.28
hellaswag,11,0,0.6
hellaswag,11,2,0.6
hellaswag,11,4,0.6
hellaswag,11,6,0.3
hellaswag,11,8,0.3
hellaswag,15,0,0.58
hellaswag,15,2,0.58
hellaswag,15,4,0.58
hellaswag,15,6,0.3
hellaswag,15,8,0.24
hellaswag,19,0,0.64
hellaswag,19,2,0.64
hellaswag,19,4,0.6
hellaswag,19,6,0.52
hellaswag,19,8,0.28
hellaswag,23,0,0.6
hellaswag,23,2,0.6
hellaswag,23,4,0.6
hellaswag,23,6,0.42
hellaswag,23,8,0.28
hellaswag,27,0,0.66
hellaswag,27,2,0.66
hellaswag,27,4,0.66
hellaswag,27,6,0.38
hellaswag,27,8,0.26
hellaswag,3,0,0.54
hellaswag,3,2,0.54
hellaswag,3,4,0.54
hellaswag,3,6,0.24
hellaswag,3,8,0.24
hellaswag,31,0,0.62
hellaswag,31,2,0.62
hellaswag,31,4,0.6
hellaswag,31,6,0.42
hellaswag,31,8,0.3
hellaswag,7,0,0.56
hellaswag,7,2,0.56
hellaswag,7,4,0.52
hellaswag,7,6,0.26
hellaswag,7,8,0.28
