task,layer,shift,acc
copa,all,0,0.5
copa,all,2,0.5
copa,all,4,0.5
copa,all,6,0.6
copa,all,8,0.64
copa,0,0,0.4
copa,0,2,0.4
copa,0,4,0.4
copa,0,6,0.4
copa,0,8,0.4
copa,11,0,0.84
copa,11,2,0.84
copa,11,4,0.84
copa,11,6,0.75
copa,11,8,0.68
copa,15,0,0.84
copa,15,2,0.84
copa,15,4,0.84
copa,15,6,0.79
copa,15,8,0.67
copa,19,0,0.78
copa,19,2,0.78
copa,19,4,0.78
copa,19,6,0.75
copa,19,8,0.64
copa,23,0,0.8
copa,23,2,0.81
copa,23,4,0.81
copa,23,6,0.8
copa,23,8,0.64
copa,27,0,0.84
copa,27,2,0.84
copa,27,4,0.84
copa,27,6,0.76
copa,27,8,0.64
copa,3,0,0.75
copa,3,2,0.75
copa,3,4,0.75
copa,3,6,0.69
copa,3,8,0.64
copa,31,0,0.82
copa,31,2,0.82
copa,31,4,0.82
copa,31,6,0.76
copa,31,8,0.67
copa,7,0,0.78
copa,7,2,0.78
copa,7,4,0.78
copa,7,6,0.76
copa,7,8,0.57
hellaswag,all,0,0.3
hellaswag,all,2,0.3
hellaswag,all,4,0.21
hellaswag,all,6,0.26
hellaswag,all,8,0.29
hellaswag,0,0,0.29
hellaswag,0,2,0.29
hellaswag,0,4,0.29
hellaswag,0,6,0.29
hellaswag,0,8,0.29
hellaswag,11,0,0.57
hellaswag,11,2,0.57
hellaswag,11,4,0.58
hellaswag,11,6,0.32
hellaswag,11,8,0.26
hellaswag,15,0,0.61
hellaswag,15,2,0.61
hellaswag,15,4,0.59
hellaswag,15,6,0.31
hellaswag,15,8,0.24
hellaswag,19,0,0.62
hellaswag,19,2,0.62
hellaswag,19,4,0.61
hellaswag,19,6,0.55
hellaswag,19,8,0.25
hellaswag,23,0,0.65
hellaswag,23,2,0.65
hellaswag,23,4,0.65
hellaswag,23,6,0.47
hellaswag,23,8,0.28
hellaswag,27,0,0.66
hellaswag,27,2,0.66
hellaswag,27,4,0.66
hellaswag,27,6,0.41
hellaswag,27,8,0.26
hellaswag,3,0,0.51
hellaswag,3,2,0.51
hellaswag,3,4,0.46
hellaswag,3,6,0.2
hellaswag,3,8,0.26
hellaswag,31,0,0.6
hellaswag,31,2,0.6
hellaswag,31,4,0.59
hellaswag,31,6,0.38
hellaswag,31,8,0.29
hellaswag,7,0,0.55
hellaswag,7,2,0.56
hellaswag,7,4,0.52
hellaswag,7,6,0.28
hellaswag,7,8,0.25
